experiment_id,label,model_path,opponent,games,wins,losses,draws,win_rate,loss_rate,draw_rate,stored_states,episodes_trained,sources_random,sources_self,num_phases,total_episodes,phase_plan
exp_random_5k_eps020,random_only_5000_eps_0.20,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_random_5k_eps020.pkl,Random,40,40,0,0,1.0,0.0,0.0,127741,5000,5000,0,1,5000,phase1:random:5000@eps=0.2
exp_random_5k_eps020,random_only_5000_eps_0.20,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_random_5k_eps020.pkl,Self,40,20,20,0,0.5,0.5,0.0,127741,5000,5000,0,1,5000,phase1:random:5000@eps=0.2
exp_random_10k_eps020,random_only_10000_eps_0.20,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_random_10k_eps020.pkl,Random,40,39,1,0,0.975,0.025,0.0,235372,10000,10000,0,1,10000,phase1:random:10000@eps=0.2
exp_random_10k_eps020,random_only_10000_eps_0.20,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_random_10k_eps020.pkl,Self,40,20,20,0,0.5,0.5,0.0,235372,10000,10000,0,1,10000,phase1:random:10000@eps=0.2
exp_self_10k_eps020,self_only_10000_eps_0.20,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_self_10k_eps020.pkl,Random,40,38,2,0,0.95,0.05,0.0,571866,10000,0,10000,1,10000,phase1:self:10000@eps=0.2
exp_self_10k_eps020,self_only_10000_eps_0.20,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_self_10k_eps020.pkl,Self,40,20,20,0,0.5,0.5,0.0,571866,10000,0,10000,1,10000,phase1:self:10000@eps=0.2
exp_self_20k_eps010,self_only_20000_eps_0.10,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_self_20k_eps010.pkl,Random,40,39,1,0,0.975,0.025,0.0,855834,20000,0,20000,1,20000,phase1:self:20000@eps=0.1
exp_self_20k_eps010,self_only_20000_eps_0.10,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_self_20k_eps010.pkl,Self,40,0,0,40,0.0,0.0,1.0,855834,20000,0,20000,1,20000,phase1:self:20000@eps=0.1
exp_mixed_8k_12k,random_8000_then_self_12000,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_mixed_8k_12k.pkl,Random,40,40,0,0,1.0,0.0,0.0,784557,20000,8000,12000,2,20000,phase1:random:8000@eps=0.2 | phase2:self:12000@eps=0.1
exp_mixed_8k_12k,random_8000_then_self_12000,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_mixed_8k_12k.pkl,Self,40,20,20,0,0.5,0.5,0.0,784557,20000,8000,12000,2,20000,phase1:random:8000@eps=0.2 | phase2:self:12000@eps=0.1
exp_mixed_8k_12k_refine,random_8000_then_self_12000_then_self_8000,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_mixed_8k_12k_refine.pkl,Random,40,40,0,0,1.0,0.0,0.0,1098124,28000,8000,20000,3,28000,phase1:random:8000@eps=0.2 | phase2:self:12000@eps=0.1 | phase3:self:8000@eps=0.05
exp_mixed_8k_12k_refine,random_8000_then_self_12000_then_self_8000,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_mixed_8k_12k_refine.pkl,Self,40,20,20,0,0.5,0.5,0.0,1098124,28000,8000,20000,3,28000,phase1:random:8000@eps=0.2 | phase2:self:12000@eps=0.1 | phase3:self:8000@eps=0.05
exp_self_refine_15k,self_refine_10000_then_5000,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_self_refine_15k.pkl,Random,40,39,1,0,0.975,0.025,0.0,623637,15000,0,15000,2,15000,phase1:self:10000@eps=0.08 | phase2:self:5000@eps=0.03
exp_self_refine_15k,self_refine_10000_then_5000,C:\Users\tabut\OneDrive\Escritorio\Fundamentos de IA\Proyecto-Final\Connect4RL\groups\Group B\artifacts\exp_self_refine_15k.pkl,Self,40,20,20,0,0.5,0.5,0.0,623637,15000,0,15000,2,15000,phase1:self:10000@eps=0.08 | phase2:self:5000@eps=0.03
