run_started_at,game,match,red,yellow,winner,winner_color,moves_count,red_time,yellow_time,red_over_time,yellow_over_time,invalid_by
2026-05-25 15:34:20,1,RafaImproved vs RafaQ,RafaImproved,RafaQ,RafaImproved,-1,37,47.3495,54.0065,False,False,
2026-05-25 15:34:58,2,RafaImproved vs RafaQ,RafaQ,RafaImproved,RafaQ,-1,17,22.8615,15.2274,False,False,
2026-05-25 15:36:33,3,RafaImproved vs RafaQ,RafaImproved,RafaQ,RafaQ,1,34,46.9369,48.0057,False,False,
2026-05-25 15:37:24,4,RafaImproved vs RafaQ,RafaQ,RafaImproved,RafaImproved,1,22,26.1579,24.9514,False,False,
2026-05-25 15:38:49,5,RafaImproved vs RafaQ,RafaImproved,RafaQ,RafaQ,1,32,39.7921,45.0059,False,False,
2026-05-25 15:39:09,6,RafaImproved vs RafaQ,RafaQ,RafaImproved,RafaQ,-1,9,11.4316,9.0183,False,False,
2026-05-25 15:40:49,7,RafaImproved vs RafaQ,RafaImproved,RafaQ,RafaQ,1,40,46.8312,52.8075,False,False,
2026-05-25 15:41:04,8,RafaImproved vs RafaQ,RafaQ,RafaImproved,RafaQ,-1,7,8.5732,6.0087,False,False,
2026-05-25 15:42:34,9,RafaImproved vs RafaQ,RafaImproved,RafaQ,RafaImproved,-1,35,42.9946,47.2563,False,False,
2026-05-25 15:44:11,10,RafaImproved vs RafaQ,RafaQ,RafaImproved,RafaImproved,1,36,50.212,47.3596,False,False,
2026-05-25 15:44:48,11,RafaImproved vs RafaQ,RafaImproved,RafaQ,RafaImproved,-1,17,20.2293,16.2175,False,False,
2026-05-25 15:46:27,12,RafaImproved vs RafaQ,RafaQ,RafaImproved,RafaImproved,1,38,50.8666,48.1699,False,False,
2026-05-25 15:47:37,13,RafaImproved vs RafaQ,RafaImproved,RafaQ,RafaImproved,-1,29,33.6261,36.6757,False,False,
2026-05-25 15:48:40,14,RafaImproved vs RafaQ,RafaQ,RafaImproved,RafaImproved,1,26,31.4363,31.7281,False,False,
2026-05-25 15:49:38,15,RafaImproved vs RafaQ,RafaImproved,RafaQ,RafaImproved,-1,25,29.2522,28.0069,False,False,
2026-05-25 15:50:49,16,RafaImproved vs RafaQ,RafaQ,RafaImproved,RafaImproved,1,30,38.7591,32.7834,False,False,
2026-05-25 15:52:30,17,RafaImproved vs RafaQ,RafaImproved,RafaQ,RafaImproved,-1,39,51.7622,49.1278,False,False,
2026-05-25 15:54:02,18,RafaImproved vs RafaQ,RafaQ,RafaImproved,RafaImproved,1,36,48.9893,42.5733,False,False,
2026-05-25 15:55:09,19,RafaImproved vs RafaQ,RafaImproved,RafaQ,RafaImproved,-1,27,30.8786,36.3823,False,False,
2026-05-25 15:56:00,20,RafaImproved vs RafaQ,RafaQ,RafaImproved,RafaImproved,1,22,28.5783,22.746,False,False,
2026-05-25 15:57:43,21,RafaImproved vs RafaQ,RafaImproved,RafaQ,RafaQ,1,38,51.3737,51.2086,False,False,
2026-05-25 15:59:18,22,RafaImproved vs RafaQ,RafaQ,RafaImproved,RafaQ,-1,35,48.5843,46.3087,False,False,
2026-05-25 16:01:00,23,RafaImproved vs RafaQ,RafaImproved,RafaQ,RafaImproved,-1,37,48.5406,53.6114,False,False,
2026-05-25 16:01:53,24,RafaImproved vs RafaQ,RafaQ,RafaImproved,RafaQ,-1,21,28.578,24.6698,False,False,
2026-05-25 16:02:53,25,RafaImproved vs RafaQ,RafaImproved,RafaQ,RafaQ,1,24,26.6237,33.0058,False,False,
