agent,baseline,total_time,global_prior_visits,games,agent_wins,baseline_wins,draws,agent_win_rate,baseline_win_rate,draw_rate,points_per_game
RafaQ,RafaBase,0.3,1,10,6,3,1,0.6,0.3,0.1,0.65
RafaImproved,RafaBase,0.3,1,10,8,2,0,0.8,0.2,0.0,0.8
RafaQ,RafaBase,0.3,5,10,5,5,0,0.5,0.5,0.0,0.5
RafaImproved,RafaBase,0.3,5,10,5,5,0,0.5,0.5,0.0,0.5
RafaQ,RafaBase,0.3,10,10,8,2,0,0.8,0.2,0.0,0.8
RafaImproved,RafaBase,0.3,10,10,5,4,1,0.5,0.4,0.1,0.55
RafaQ,RafaBase,0.3,20,10,7,2,1,0.7,0.2,0.1,0.75
RafaImproved,RafaBase,0.3,20,10,9,1,0,0.9,0.1,0.0,0.9
RafaQ,RafaBase,1.0,1,10,4,6,0,0.4,0.6,0.0,0.4
RafaImproved,RafaBase,1.0,1,10,6,3,1,0.6,0.3,0.1,0.65
RafaQ,RafaBase,1.0,5,10,6,4,0,0.6,0.4,0.0,0.6
RafaImproved,RafaBase,1.0,5,10,8,2,0,0.8,0.2,0.0,0.8
RafaQ,RafaBase,1.0,10,10,3,6,1,0.3,0.6,0.1,0.35
RafaImproved,RafaBase,1.0,10,10,7,2,1,0.7,0.2,0.1,0.75
RafaQ,RafaBase,1.0,20,10,3,7,0,0.3,0.7,0.0,0.3
RafaImproved,RafaBase,1.0,20,10,10,0,0,1.0,0.0,0.0,1.0
RafaQ,RafaBase,2.0,1,10,3,7,0,0.3,0.7,0.0,0.3
RafaImproved,RafaBase,2.0,1,10,7,2,1,0.7,0.2,0.1,0.75
RafaQ,RafaBase,2.0,5,10,5,4,1,0.5,0.4,0.1,0.55
RafaImproved,RafaBase,2.0,5,10,7,3,0,0.7,0.3,0.0,0.7
RafaQ,RafaBase,2.0,10,10,6,4,0,0.6,0.4,0.0,0.6
RafaImproved,RafaBase,2.0,10,10,7,3,0,0.7,0.3,0.0,0.7
RafaQ,RafaBase,2.0,20,10,4,6,0,0.4,0.6,0.0,0.4
RafaImproved,RafaBase,2.0,20,10,7,3,0,0.7,0.3,0.0,0.7
RafaQ,RafaBase,10.0,1,10,3,5,2,0.3,0.5,0.2,0.4
RafaImproved,RafaBase,10.0,1,10,7,3,0,0.7,0.3,0.0,0.7
RafaQ,RafaBase,10.0,5,10,7,3,0,0.7,0.3,0.0,0.7
RafaImproved,RafaBase,10.0,5,10,7,2,1,0.7,0.2,0.1,0.75
RafaQ,RafaBase,10.0,10,10,5,5,0,0.5,0.5,0.0,0.5
RafaImproved,RafaBase,10.0,10,10,7,3,0,0.7,0.3,0.0,0.7
RafaQ,RafaBase,10.0,20,10,3,6,1,0.3,0.6,0.1,0.35
RafaImproved,RafaBase,10.0,20,10,7,1,2,0.7,0.1,0.2,0.8
RafaQ,RafaBase,60.0,1,10,6,4,0,0.6,0.4,0.0,0.6
RafaImproved,RafaBase,60.0,1,10,7,3,0,0.7,0.3,0.0,0.7
RafaQ,RafaBase,60.0,5,10,8,2,0,0.8,0.2,0.0,0.8
RafaImproved,RafaBase,60.0,5,10,6,4,0,0.6,0.4,0.0,0.6
RafaQ,RafaBase,60.0,10,10,5,5,0,0.5,0.5,0.0,0.5
RafaImproved,RafaBase,60.0,10,10,8,2,0,0.8,0.2,0.0,0.8
RafaQ,RafaBase,60.0,20,10,3,7,0,0.3,0.7,0.0,0.3
RafaImproved,RafaBase,60.0,20,10,5,4,1,0.5,0.4,0.1,0.55
