agent,baseline,total_time,global_prior_visits,games,agent_wins,baseline_wins,draws,agent_win_rate,baseline_win_rate,draw_rate,points_per_game
RafaImproved,RafaQ,0.3,1,10,6,4,0,0.6,0.4,0.0,0.6
RafaImproved,RafaQ,0.3,5,10,9,1,0,0.9,0.1,0.0,0.9
RafaImproved,RafaQ,0.3,10,10,6,3,1,0.6,0.3,0.1,0.65
RafaImproved,RafaQ,0.3,20,10,6,3,1,0.6,0.3,0.1,0.65
RafaImproved,RafaQ,1.0,1,10,6,4,0,0.6,0.4,0.0,0.6
RafaImproved,RafaQ,1.0,5,10,8,2,0,0.8,0.2,0.0,0.8
RafaImproved,RafaQ,1.0,10,10,9,1,0,0.9,0.1,0.0,0.9
RafaImproved,RafaQ,1.0,20,10,8,2,0,0.8,0.2,0.0,0.8
RafaImproved,RafaQ,2.0,1,10,6,4,0,0.6,0.4,0.0,0.6
RafaImproved,RafaQ,2.0,5,10,7,3,0,0.7,0.3,0.0,0.7
RafaImproved,RafaQ,2.0,10,10,10,0,0,1.0,0.0,0.0,1.0
RafaImproved,RafaQ,2.0,20,10,9,1,0,0.9,0.1,0.0,0.9
RafaImproved,RafaQ,10.0,1,10,6,4,0,0.6,0.4,0.0,0.6
RafaImproved,RafaQ,10.0,5,10,5,5,0,0.5,0.5,0.0,0.5
RafaImproved,RafaQ,10.0,10,10,7,3,0,0.7,0.3,0.0,0.7
RafaImproved,RafaQ,10.0,20,10,7,2,1,0.7,0.2,0.1,0.75
RafaImproved,RafaQ,60.0,1,10,6,4,0,0.6,0.4,0.0,0.6
RafaImproved,RafaQ,60.0,5,10,6,4,0,0.6,0.4,0.0,0.6
RafaImproved,RafaQ,60.0,10,10,6,4,0,0.6,0.4,0.0,0.6
RafaImproved,RafaQ,60.0,20,10,7,3,0,0.7,0.3,0.0,0.7
